Kod,Benämning
47.522,Detaljhandel med järn- och VVS-varor
47.523,Detaljhandel med färger fernissor och lacker
47.531,Detaljhandel med mattor och annan vägg- och golvbeklädnad
47.532,Detaljhandel med inredningstextilier
47.533,Detaljhandel via internet eller postorder med mattor och inredningstextilier
47.541,Detaljhandel med elektriska hushållsmaskiner och hushållsapparater utom via internet eller postorder
47.542,Detaljhandel via internet eller postorder med elektriska hushållsmaskiner och hushållsapparater
47.551,Detaljhandel med möbler
47.552,Detaljhandel med belysningsartiklar bordsartiklar och hushållsartiklar utom möbler
47.553,Detaljhandel via internet eller postorder med möbler belysningsartiklar bordsartiklar och hushållsartiklar
47.611,Detaljhandel med böcker utom via internet eller postorder
47.612,Detaljhandel via internet eller postorder med böcker
47.621,Detaljhandel med tidningar
47.622,Detaljhandel med kontorsförbrukningsvaror
47.631,Detaljhandel med sport- och fritidsartiklar utom cyklar och båtar
47.632,Detaljhandel med cyklar
47.633,Detaljhandel med båtar
47.634,Detaljhandel via internet eller postorder med sport- och fritidsartiklar
47.641,Detaljhandel med spel och leksaker utom via internet eller postorder
47.642,Detaljhandel via internet eller postorder med spel- och leksaker
47.691,Detaljhandel med musikinstrument och noter
47.692,Detaljhandel med konst samt galleriverksamhet
47.693,Detaljhandel med media för musik och bild
47.694,Detaljhandel via internet eller postorder med övriga kultur- och fritidsartiklar
47.699,Detaljhandel med andra övriga kultur- och fritidsartiklar
47.711,Detaljhandel med kläder utom via internet eller postorder
47.712,Detaljhandel via internet eller postorder med kläder
47.721,Detaljhandel med skodon
47.722,Detaljhandel med väskor reseffekter och lädervaror
47.723,Detaljhandel via internet eller postorder med skodon och lädervaror
47.731,Detaljhandel med apoteksvaror utom via internet eller postorder
47.732,Detaljhandel via internet eller postorder med apoteksvaror
47.741,Detaljhandel med medicinska och ortopediska artiklar utom glasögon och andra optiska artiklar
47.742,Detaljhandel med glasögon och andra optiska artiklar utom fotoutrustning
47.751,Detaljhandel med kosmetika och hygienartiklar utom via internet eller postorder
47.752,Detaljhandel via internet eller postorder med kosmetika och hygienartiklar
47.761,Detaljhandel med blommor och andra växter frön och gödselmedel
47.762,Detaljhandel med små sällskapsdjur
47.771,Detaljhandel med ur guldsmedsvaror och smycken utom via internet eller postorder
47.772,Detaljhandel via internet eller postorder med ur guldsmedsvaror och smycken
47.781,Detaljhandel med andra optiska artiklar utom fotoutrustning
47.782,Detaljhandel med fotoutrustning
47.789,Övrig specialiserad detaljhandel
47.791,Detaljhandel med antikviteter och begagnade böcker
47.792,Detaljhandel med övriga begagnade varor
47.811,Detaljhandel med personbilar och lätta motorfordon
47.812,Detaljhandel med lastbilar bussar och specialfordon
47.813,Detaljhandel med husvagnar husbilar släpfordon och påhängsvagnar
47.820,Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar
47.830,Detaljhandel med motorcyklar inklusive reservdelar och tillbehör
47.910,Förmedling avseende icke-specialiserad detaljhandel
47.920,Förmedling avseende specialiserad detaljhandel
49.110,Tung järnvägstransport passagerartrafik
49.120,Annan järnvägstransport passagerartrafik
49.200,Järnvägstransport godstrafik
49.310,Reguljär vägtransport passagerartrafik
49.320,Icke-reguljär vägtransport passagerartrafik
49.330,Passagerartrafik på beställning fordon med förare
49.340,Kabinbanor och skidliftar passagerartrafik
49.390,Diverse övrig landtransport av passagerare
49.410,Vägtransport godstrafik
49.420,Flyttjänster
49.500,Transport i rörsystem
50.101,Reguljär sjötrafik över hav och kust av passagerare
50.102,Icke reguljär sjötrafik över hav och kust av passagerare
50.201,Reguljär sjötrafik över hav och kust av gods
50.202,Icke reguljär sjötrafik över hav och kust av gods
50.301,Reguljär sjötrafik på inre vattenvägar av passagerare
50.302,Icke reguljär sjötrafik på inre vattenvägar av passagerare
50.401,Reguljär sjötrafik på inre vattenvägar av gods
50.402,Icke reguljär sjötrafik på inre vattenvägar av gods
51.101,Reguljär lufttransport av passagerare
51.102,Icke reguljär lufttransport av passagerare
51.211,Reguljär lufttransport av gods
51.212,Icke reguljär lufttransport av gods
51.220,Rymdfart
52.100,Magasinering och varulagring
52.211,Bärgning avseende landtransport
52.219,Övrig stödverksamhet avseende landtransport
52.220,Stödverksamhet avseende sjötransport
52.230,Stödverksamhet avseende lufttransport
52.241,Hamngodshantering
52.249,Övrig godshantering
52.250,Logistikverksamhet
52.260,Annan stödverksamhet avseende transport
52.310,Förmedling avseende godstransport
52.320,Förmedling avseende passagerartransport
53.100,Postbefordran via nationella posten
53.201,Annan postbefordran och tidningsdistribution
53.202,Bud- och kurirverksamhet
53.300,Förmedling avseende postbefordran samt kurirverksamhet
55.101,Hotellverksamhet med restaurangrörelse
55.102,Drift av konferensanläggningar med boende
55.103,Hotellverksamhet utan restaurangrörelse
55.201,Vandrarhemsverksamhet
55.202,Stug- och rumsuthyrning
55.300,Campingplatsverksamhet
55.400,Förmedling avseende hotell- och logiverksamhet
55.900,Annan logiverksamhet
56.110,Restaurangverksamhet
56.120,Mobil restaurangverksamhet
56.210,Cateringverksamhet vid enskilda evenemang
56.221,Drift av personalmatsalar
56.222,Centralköksverksamhet för sjukhus skolor omsorgs- och andra institutioner
56.229,Övrig centralköks- och cateringverksamhet
56.300,Barverksamhet
56.400,Förmedling avseende restaurang- catering- och barverksamhet
58.110,Utgivning av böcker
58.121,Dagstidningsutgivning
58.122,Annonstidningsutgivning
58.130,Utgivning av tidskrifter
58.190,Annan förlagsverksamhet utom utgivning av programvara
58.210,Utgivning av datorspel
58.290,Utgivning av annan programvara
59.110,Produktion av film video och TV-program
59.120,Efterproduktion av film video och TV-program
59.130,Film- och videodistribution
59.140,Filmvisning
59.200,Ljudinspelning och musikutgivning
60.100,Radiosändning och distribution av ljudinspelningar
60.200,Planering och sändning av tv-program samt distribution av video
60.310,Nyhetsförmedling
60.390,Annan distribution av medieinnehåll
61.100,Trådbunden och trådlös telekommunikation samt telekommunikation via satellit
61.200,Återförsäljning och förmedling avseende telekommunikation
61.900,Annan telekommunikation
62.100,Dataprogrammering
62.201,Datakonsultverksamhet
62.202,Datordrifttjänster
62.900,Annan it- och dataverksamhet
63.100,Datainfrastruktur databehandling hosting o.d.
63.910,Webbportaler
63.920,Övrig informationsverksamhet
64.110,Centralbanksverksamhet
64.190,Annan monetär finansförmedling
64.211,Holdingverksamhet i finansiella koncerner
